mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,label
-262.99652,44.215034,15.836433,5.567589,0.19327803,-3.8484814,-4.7748775,-1.4323825,4.3207383,2.0974884,-2.9797335,-0.76064813,2.7490249,1.0889266,-2.7403016,-4.0067596,-3.4542172,-3.4739094,-3.6555622,-4.522435,-3.6411693,-2.5495894,-2.6823707,-2.2434723,-2.327812,-3.0029857,-3.0089874,-4.388639,-4.3335032,-3.0950103,-3.523373,-2.2659683,-0.7647271,-1.3773744,-1.251385,-1.0722135,-1.6580406,-2.6636977,-3.4939373,-3.0586922,buka
-461.85403,93.65009,-11.095282,2.5416152,-14.613354,-11.994516,-7.6145773,3.8965673,6.0344725,-13.850109,-2.6819284,2.9529583,-5.071683,-9.854967,-5.3225913,-1.7596534,-6.68241,-0.20638497,-3.8753488,-5.495791,0.09145654,-5.599905,-3.0875056,-0.44803149,-0.8083817,0.59495074,-1.5976034,-0.999984,-0.47802532,-2.362391,-2.3483622,-1.6257123,-3.1050203,-2.9559205,-3.880967,-4.376117,-1.3971093,-3.6624634,-4.3815875,-2.4083216,buka
-410.42474,125.65022,-2.9958708,6.6918178,-2.178616,-12.541513,-12.761305,-6.382759,7.684637,-4.4848213,-5.1464615,-0.0011564712,-2.518458,1.1335808,-4.650672,-2.6294436,-2.8938518,-8.650041,-1.8927021,-6.7253494,-6.8749037,2.1343288,-2.3259797,-3.396741,-2.5152922,-2.5068042,-1.3018092,-5.1968427,-3.7516263,-2.5557725,-5.6096897,-3.3176708,-1.5439285,-3.441625,-3.8143027,-1.745754,-3.123334,-5.812516,-3.2474926,-3.0250285,buka
-235.69527,56.617783,21.304771,5.626598,-7.4690866,-13.490486,-8.465191,-0.6865245,1.8177177,-3.6630814,-4.505106,1.6519293,1.902407,-3.5764995,-6.1118293,-4.8184175,-7.2399864,-7.100899,-1.0603572,-1.4763683,-3.41816,-1.3981645,-0.6244716,-0.19476192,-0.6774404,-1.2171973,-0.55306053,-3.1078777,-4.041627,-1.6853161,-1.373212,-1.3723316,-1.4350052,-3.4627388,-3.240978,-2.032118,-3.038522,-4.1054873,-2.8023114,-2.9441564,buka
-167.11041,50.81233,10.681148,-6.189291,-9.245156,-11.785722,-7.3826237,0.9787226,0.6756606,-4.74135,-3.8446674,-1.5014297,-4.428875,-6.6562676,-4.614774,-2.4093945,-2.536054,-2.0540226,-2.0392363,-3.4749172,-3.465443,-2.322566,-2.0030055,-2.9791052,-2.4055727,-1.4273596,-1.5950888,-0.73499554,-0.24162851,-1.5585132,-2.4733546,-2.6105213,-1.166654,-0.6453994,-1.0327743,-1.9410391,-2.5130851,-1.912704,-1.1272033,-0.7108937,buka
-455.12125,108.99786,-10.897935,9.685845,-8.851964,-11.53307,-8.88312,-6.107717,13.322717,-5.07479,-10.264495,2.0363884,1.0327332,-3.171746,-9.828463,-2.9290073,-4.803898,-8.038121,0.902189,-5.766468,-5.0968065,1.2924134,-3.3139598,-3.1351457,-2.496618,-1.7509444,-1.6062536,-2.9585445,-1.7494081,-0.7283914,0.5586345,-0.76910055,-1.0501633,-1.2812723,-2.5159452,-0.78935206,-4.105741,-4.7923074,-1.5548668,-3.3648963,buka
-393.13815,126.55189,-1.1067513,5.6181006,-1.8286196,-12.644877,-13.344361,-6.112949,8.068732,-3.9351716,-5.7110295,-0.26445472,-2.54334,0.0067104907,-4.9886093,-2.6764238,-2.9398816,-8.31149,-2.0213244,-6.777505,-7.378827,1.2365721,-2.464757,-3.2979448,-2.5257535,-2.5882149,-1.2237059,-4.6819935,-3.2861733,-2.593802,-5.674131,-3.0707655,-2.0209374,-4.3344197,-3.990917,-1.7297064,-2.969568,-5.62191,-3.5491219,-3.499117,buka
-218.32881,59.06928,17.268064,-0.7703884,-4.1590395,-10.194146,-10.959924,-1.3541443,4.3049445,-0.41674647,-3.2250826,0.27070352,-0.63884,-4.7504296,-7.1350884,-5.822777,-4.953035,-4.522354,-2.758554,-3.1475153,-3.9980903,-3.832793,-1.6800758,-1.1290989,-3.0721803,-3.674604,-3.0180438,-3.4521818,-2.7686775,-1.8219818,-0.7634909,-0.65585154,-1.8960246,-2.650035,-1.7409121,-1.683439,-2.4730365,-3.0062673,-2.5640888,-2.293278,buka
-86.086044,13.096148,12.275115,7.6354175,2.7467625,0.119800225,-0.8922692,-0.7030095,0.23254056,0.54640007,1.1630412,1.4646461,1.0200366,-1.4701426,-3.8785727,-4.9532986,-5.122005,-3.7646904,-2.2420216,-1.4251436,-1.3305242,-1.8487514,-1.5760086,-1.4879465,-1.1622813,-1.7959019,-2.138774,-2.5558114,-2.05337,-1.5291498,-1.0491537,-1.153928,-1.6854,-2.1490126,-2.4590364,-2.2772574,-2.345407,-2.067808,-1.9938395,-2.4469988,buka
-363.52554,113.16115,15.31557,5.09255,5.3109236,-4.68041,-12.7951975,-12.254467,1.7619325,3.7546077,-4.91156,-1.4532287,-1.6851113,-0.7501176,1.26282,-4.024499,0.25473586,-1.9001845,-4.1614485,-1.0584443,-3.088667,-7.7484183,-3.7622883,-0.87929523,-2.8903227,-1.561816,-3.3678045,0.08423686,-1.3097779,-2.59725,-0.5853131,-1.1866049,-3.5256972,-2.8969069,-1.1892172,-2.1302454,-4.418671,-2.8583,-0.091440834,-3.6078062,buka
